page_url,page_title,data_key,data_value,created_at,original_url,keyword
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,"
	News & Event Details
",Year Range,2023-24,2025-11-17 06:11:48.314671,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,exam
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,"
	News & Event Details
",Advertisement Number,42-2023-24,2025-11-17 06:11:48.306743,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,exam
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,"
	News & Event Details
",Year Range,2022-23,2025-11-17 06:11:48.299333,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,exam
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,"
	News & Event Details
",Advertisement Number,20-2022-23,2025-11-17 06:11:48.29306,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,exam
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,"
	News & Event Details
",Year Range,2023-24,2025-11-17 06:11:48.286521,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,exam
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,"
	News & Event Details
",Advertisement Number,42-2023-24,2025-11-17 06:11:48.279897,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,exam
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,"
	News & Event Details
",Year Range,2022-23,2025-11-17 06:11:48.275204,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,exam
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,"
	News & Event Details
",Advertisement Number,20-2022-23,2025-11-17 06:11:48.266635,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=24630,exam
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=26187,"
	News & Event Details
",Year Range,2024-25,2025-11-17 06:11:32.81117,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=26187,exam
https://gpsc.gujarat.gov.in/newseventdetail?NewsID=26187,"
	News & Event Details
",Year Range,2024-25,2025-11-17 06:11:32.803387,https://gpsc.gujarat.gov.in/newseventdetail?NewsID=26187,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.783434,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.781198,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.77966,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,07-11-2025,2025-11-17 06:11:01.778027,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.776322,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,10-11-2025,2025-11-17 06:11:01.77386,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.767498,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,17-10-2025,2025-11-17 06:11:01.764308,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.760815,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Exam,Exam Syllabus (Prelim) - 229/2024-25 General Studies - SY-GS-123-202425.pdf,2025-11-17 06:11:01.755947,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.753703,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Exam,Exam Syllabus (Prelim) - 229/2024-25 - SY-182-229-202425.pdf,2025-11-17 06:11:01.747989,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,11-03-2025,2025-11-17 06:11:01.746286,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,26-05-2025,2025-11-17 06:11:01.744495,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.737769,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Exam,Ineligibility List (Prelim) - 229/2024-25 List of Ineligible Candidates with reason for Preliminary exam - LICP-229-202425.pdf,2025-11-17 06:11:01.734175,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,02-07-2025,2025-11-17 06:11:01.73129,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.729533,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,19-09-2025,2025-11-17 06:11:01.727958,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.726399,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.724258,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.721391,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,18-09-2025,2025-11-17 06:11:01.717273,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,17-10-2025,2025-11-17 06:11:01.714038,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.712391,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.710929,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.708763,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,15-11-2025,2025-11-17 06:11:01.706752,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.702285,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,28-02-2025,2025-11-17 06:11:01.699196,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.697053,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,06-07-2019,2025-11-17 06:11:01.693369,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,06-07-2019,2025-11-17 06:11:01.691213,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.688709,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.682211,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Exam,Advertisement - 229/2024-25 Important Notice regarding date of the Preliminary Exam for the Common General Studies Paper - INEX-27042025.pdf,2025-11-17 06:11:01.678982,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,05-06-2025,2025-11-17 06:11:01.677578,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,05-06-2025,2025-11-17 06:11:01.675872,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.673672,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.66821,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,28-02-2025,2025-11-17 06:11:01.663175,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,02-04-2025,2025-11-17 06:11:01.66147,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,06-06-2025,2025-11-17 06:11:01.659512,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Date,08-08-2025,2025-11-17 06:11:01.657077,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Year Range,2024-25,2025-11-17 06:11:01.634366,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,"
	GPSC
",Advertisement Number,229/2024-25,2025-11-17 06:11:01.631256,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2178&tab=Exam,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.161919,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,15-09-2025,2025-11-17 06:10:46.160529,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.157822,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.156626,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Exam,Exam Syllabus (Prelim) - 78/2024-25 Updated Prelim Exam Syllabus - INSY-78-2024-25.pdf,2025-11-17 06:10:46.154176,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,21-02-2025,2025-11-17 06:10:46.152892,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.149726,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.147819,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,06-05-2025,2025-11-17 06:10:46.146617,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,13-05-2025,2025-11-17 06:10:46.14543,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.144232,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.143018,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,15-05-2025,2025-11-17 06:10:46.141778,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,04-06-2025,2025-11-17 06:10:46.140475,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,04-08-2025,2025-11-17 06:10:46.13918,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,04-08-2025,2025-11-17 06:10:46.137747,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.136352,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.134805,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.132998,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,04-08-2025,2025-11-17 06:10:46.131128,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Date,15-09-2025,2025-11-17 06:10:46.129576,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,"
	GPSC
",Year Range,2024-25,2025-11-17 06:10:46.126758,https://gpsc.gujarat.gov.in/AdvertisementDetail?no=2027&tab=Advertisement,exam
